"","x"
"2","ALMOST"
"3","ALWAYS"
"4","APPARENTLY"
"5","APPEARED"
"6","APPEARING"
"7","APPEARS"
"8","BEST"
"9","CAN"
"10","CLEARLY"
"11","CONCEIVABLE"
"12","COULD"
"13","DEFINITELY"
"14","DEFINITIVELY"
"15","DEPEND"
"16","DEPENDED"
"17","DEPENDING"
"18","DEPENDS"
"19","FREQUENTLY"
"20","GENERALLY"
"21","HIGHEST"
"22","LIKELY"
"23","LOWEST"
"24","MAY"
"25","MAYBE"
"26","MIGHT"
"27","MUST"
"28","NEARLY"
"29","NEVER"
"30","OCCASIONALLY"
"31","OFTEN"
"32","OUGHT"
"33","PERHAPS"
"34","POSSIBLE"
"35","POSSIBLY"
"36","PROBABLE"
"37","PROBABLY"
"38","RARELY"
"39","REGULARLY"
"40","SELDOM"
"41","SELDOMLY"
"42","SHOULD"
"43","SOMETIMES"
"44","SOMEWHAT"
"45","STRONGLY"
"46","SUGGEST"
"47","SUGGESTS"
"48","TENDS"
"49","UNAMBIGUOUSLY"
"50","UNCERTAIN"
"51","UNCERTAINLY"
"52","UNCOMPROMISING"
"53","UNDISPUTED"
"54","UNDOUBTEDLY"
"55","UNEQUIVOCAL"
"56","UNEQUIVOCALLY"
"57","UNPARALLELED"
"58","UNSURPASSED"
"59","USUALLY"
"60","WILL"
"61","WOULD"
